server_status,server_id,server_name
SHUTOFF,bd32a5ac-fe02-4022-85b4-ead5b3d03abc,escape-datalake-monitoring-head
SHUTOFF,edf9f15c-efda-43b0-a7c2-ae78a5800323,eh-02-04
SHUTOFF,a65b7fa2-df75-49d0-8df5-8b6033875789,dev-cashless-credit-proxy-2
SHUTOFF,1a96ca38-bce9-4145-bedd-5bca704e9410,covaltest
SHUTOFF,20decaa7-d3b5-4aa5-97a6-b9ba783e5db8,controller3
SHUTOFF,7f50a761-6f2b-474a-882b-f225bd874a10,charlie_python
SHUTOFF,18c12607-1574-4b3c-becf-90b3aa5e8f15,cepheus-worker-9
SHUTOFF,0c881996-dbaf-408e-9dd2-5d49d37438bd,cepheus-worker-8
SHUTOFF,a3531331-de34-409e-9441-7fbb96954bcd,cepheus-worker-7
SHUTOFF,bab3e9c7-6380-4dce-aeae-5420a1a0c387,cepheus-worker-6
SHUTOFF,c0c2ce71-13e6-43e7-8287-f296213b17d3,cepheus-worker-5
SHUTOFF,c5a956f2-3d5e-4b45-b4d0-44312f2689f5,cepheus-worker-4
SHUTOFF,af39f85a-6263-410a-bfc9-1f09d19bef8f,cepheus-worker-3
SHUTOFF,34fc29bc-609f-4012-a9a1-58b959295eff,cepheus-worker-2
SHUTOFF,cb61cbc8-46c7-40f8-9a7f-c9421de895b3,cepheus-worker-12
SHUTOFF,7fdd24c6-42bf-4287-a4fc-6ca2e3e37f9e,cepheus-worker-11
SHUTOFF,3d3277d5-96fb-4693-8087-a1b0d0190591,cepheus-worker-10
SHUTOFF,62ac1440-8ae8-43b9-9141-f25ecd87b009,cepheus-worker-1
SHUTOFF,f0d47d49-f1ae-462d-86e7-cb5432f458b9,cepheus-master-1
SHUTOFF,60dfd413-57db-4404-8bb8-dbe2e0b2ff79,capo-cluster-default-md-0-179b9099-4z22f
SHUTOFF,12539389-2beb-4329-a516-11b69b525696,caf_develop
SHUTOFF,0589d160-39a2-410c-9fa5-6bebede5c429,amphora-8be6e404-15a4-46fa-b1b8-d4fe70d6e83a
SHUTOFF,73622a48-0654-47bc-933b-ad93b18e8e35,XNAT example 1
SHUTOFF,4951f43d-87c7-439b-89b2-3485b528137a,Worker Node-5
